#Seq	Imp_val	m_sum_neg	c_neg	m_sum_all	m_sum_nzr	Mag	c_nzr	c_all	m_max	s_min	m_sdv_neg	s_sdv_neg	m_avg_neg	s_avg_neg	s_sdv_nzr	m_sdv_all	s_sdv_all	s_avg_nzr	m_avg_nzr	s_avg_all	Sc	m_avg_all	m_sum_pos	c_pos	m_min	s_max	m_sdv_pos	s_sdv_pos	m_avg_pos	s_avg_pos	m_sdv_nzr
1	1	1.00	3	1.10	1.10	1.2	4	4	0.60	-0.60	0.39	0.39	0.33	-0.33	0.34	0.34	0.34	-0.22	0.28	-0.22	-0.2	0.28	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.34
2	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.77
3	1	2.10	3	2.10	2.10	2.2	3	3	0.90	-0.90	0.75	0.75	0.70	-0.70	0.75	0.75	0.75	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	0.91
4	1	1.90	3	1.90	1.90	2	3	3	0.70	-0.70	0.64	0.64	0.63	-0.63	0.64	0.64	0.64	-0.63	0.63	-0.63	-0.6	0.63	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.84
5	1	0.40	1	0.50	0.50	0.5	2	2	0.40	-0.40	0.40	0.40	0.40	-0.40	0.29	0.29	0.29	-0.15	0.25	-0.15	-0.1	0.25	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.71
6	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.98
7	1	3.00	6	3.00	3.00	3.2	6	6	0.80	-0.80	0.58	0.58	0.50	-0.50	0.58	0.58	0.58	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.71
8	1	1.70	3	2.60	2.60	2.8	5	7	0.80	-0.70	0.60	0.60	0.57	-0.57	0.59	0.50	0.50	-0.16	0.52	-0.11	-0.1	0.37	0.90	2	0.00	0.80	0.57	0.57	0.45	0.45	0.70
9	1	1.10	3	1.30	1.30	1.5	4	4	0.50	-0.50	0.39	0.39	0.37	-0.37	0.35	0.35	0.35	-0.23	0.32	-0.23	-0.2	0.32	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	0.54
11	1	3.80	5	3.80	3.80	4.1	5	6	0.90	-0.90	0.78	0.78	0.76	-0.76	0.78	0.72	0.72	-0.76	0.76	-0.63	-0.6	0.63	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.88
12	1	1.00	2	1.00	1.00	1	2	2	0.90	-0.90	0.64	0.64	0.50	-0.50	0.64	0.64	0.64	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.92
13	1	0.00	0	0.80	0.80	0.8	2	2	0.40	0.40	0.00	0.00	0.00	0.00	0.40	0.40	0.40	0.40	0.40	0.40	0.4	0.40	0.80	2	0.40	0.40	0.40	0.40	0.40	0.40	0.79
14	1	2.10	3	2.20	2.20	2.4	4	4	0.90	-0.90	0.75	0.75	0.70	-0.70	0.66	0.66	0.66	-0.50	0.55	-0.50	-0.5	0.55	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.79
15	1	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.20
