# 文書番号	予測ラベル
 15	  0
 18	  1
 46	  0
 59	  0
 66	  0
 69	  0
 70	  1
 72	  0
102	  0
138	  0
143	  0
144	  0
146	  1
158	  0
182	  0
184	  0
189	  1
205	  0
227	  0
236	  0
242	  0
249	  0
257	  0
260	  0
264	  1
281	  0
284	  0
316	  1
319	  0
324	  0
336	  0
350	  0
368	  0
388	  0
399	  0
406	  0
412	  0
418	  0
419	  0
437	  1
456	  0
466	  0
469	  0
471	  0
485	  0
488	  0
497	  0
503	  0
505	  1
513	  1
524	  0
541	  0
550	  0
551	  1
552	  0
561	  0
572	  0
587	  0
591	  0
598	  0
607	  0
609	  0
650	  0
659	  0
663	  0
685	  0
695	  0
702	  0
712	  0
730	  0
749	  1
764	  0
777	  0
782	  0
788	  0
790	  1
791	  1
795	  0
796	  0
803	  0
811	  0
848	  0
852	  0
854	  1
862	  1
864	  0
874	  0
879	  0
882	  1
904	  1
916	  0
927	  0
955	  0
964	  0
982	  0
983	  0
986	  0
1004	  0
1019	  1
1040	  0
1044	  0
1049	  0
1060	  0
1062	  0
1065	  1
1085	  1
1093	  0
1101	  0
1116	  0
1119	  1
1126	  1
1135	  0
1140	  1
1142	  0
1146	  0
1149	  1
1155	  0
1157	  0
1165	  0
1166	  0
1177	  0
1181	  0
1182	  0
1191	  0
1194	  0
1201	  1
1203	  0
1215	  0
1222	  0
1238	  0
1241	  0
1248	  0
1249	  0
1268	  0
1283	  0
1284	  1
1287	  0
1366	  0
1380	  0
1399	  0
1403	  0
1409	  0
1432	  1
1437	  0
1454	  0
1479	  0
1505	  0
1519	  0
1526	  0
1527	  0
1541	  0
1544	  0
1545	  0
1546	  0
1547	  0
1560	  0
1562	  0
1575	  0
1597	  0
1602	  0
1603	  0
1611	  0
1619	  0
1637	  0
1639	  0
1655	  0
1676	  0
1682	  0
1690	  0
1692	  0
1708	  0
1714	  0
1721	  0
1724	  0
1753	  0
1755	  0
1774	  0
1780	  0
1796	  0
1809	  0
1820	  0
1835	  0
1840	  0
1841	  0
1843	  0
1877	  0
1906	  0
1912	  0
1914	  0
1917	  0
1937	  0
1938	  0
1954	  0
1994	  0
2001	  0
2003	  0
2011	  0
2023	  0
2030	  0
2034	  0
2038	  0
2039	  0
2057	  0
2066	  0
2078	  0
2080	  0
2096	  0
2103	  0
2111	  0
2118	  0
2130	  0
2138	  0
2144	  0
2150	  0
2156	  0
2157	  0
2158	  0
2159	  0
2166	  0
2179	  0
2191	  0
2210	  0
2218	  0
2227	  0
2231	  0
2236	  0
2238	  0
2246	  0
2248	  0
2254	  0
2255	  1
2257	  0
2261	  0
2278	  0
2283	  0
2294	  0
2333	  0
2363	  0
2365	  0
2389	  0
2423	  0
2457	  0
2471	  0
2508	  0
2514	  0
2526	  1
2533	  0
2545	  0
2562	  0
2581	  0
2588	  0
2607	  0
2612	  0
2628	  0
2643	  0
2645	  0
2648	  0
2656	  0
2661	  0
2671	  0
2676	  0
2689	  0
2706	  0
2707	  0
2717	  0
2718	  0
2753	  0
2761	  0
2763	  0
2782	  0
2788	  0
2797	  0
2799	  0
2800	  0
2811	  0
2812	  0
2826	  0
2832	  0
2842	  0
2857	  0
2862	  0
2870	  0
2872	  0
2911	  0
2917	  0
2918	  0
2921	  0
2928	  0
2938	  0
2964	  0
2973	  0
2975	  0
2977	  0
2992	  0
2994	  0
3000	  0
3024	  0
3027	  0
3040	  0
3047	  0
3077	  0
3083	  0
3089	  0
3102	  0
3108	  0
3115	  0
3116	  0
3126	  0
3133	  0
3154	  0
3168	  0
3169	  0
3172	  0
3177	  0
3183	  0
3192	  0
3218	  0
3233	  0
3253	  0
3254	  0
3270	  1
3288	  0
3294	  0
3325	  0
3329	  0
3337	  0
3344	  0
3352	  0
3356	  0
3362	  0
3363	  0
3364	  0
3405	  0
3420	  0
3421	  0
3423	  0
3425	  0
3447	  0
3449	  0
3453	  0
3479	  0
3483	  0
3489	  0
3497	  0
3499	  0
3507	  0
3508	  0
3518	  0
3537	  0
3540	  0
3548	  0
3550	  0
3554	  0
3567	  0
