# 文書番号	予測ラベル
  4	  1
  7	  1
 26	  1
 29	  1
 36	  0
 39	  0
 42	  1
 49	  0
 53	  1
 54	  1
 77	  1
104	  0
111	  1
114	  0
115	  0
124	  1
132	  0
137	  1
139	  1
140	  0
152	  1
160	  1
162	  0
166	  1
207	  1
211	  0
215	  0
222	  1
223	  1
226	  1
245	  0
247	  0
250	  1
277	  1
290	  0
298	  1
303	  1
315	  1
326	  1
342	  1
353	  0
373	  0
378	  0
379	  1
387	  1
394	  0
395	  0
409	  1
417	  0
426	  1
430	  1
446	  1
450	  1
502	  1
573	  1
579	  0
589	  1
618	  0
630	  0
633	  1
643	  1
647	  1
653	  1
658	  0
668	  1
672	  1
674	  0
684	  1
693	  0
703	  1
707	  1
748	  0
750	  0
753	  0
778	  1
779	  1
794	  1
813	  1
833	  0
834	  1
841	  1
855	  0
870	  1
871	  0
875	  1
885	  1
890	  1
902	  0
912	  1
914	  0
915	  1
924	  0
942	  1
960	  1
961	  1
967	  1
968	  1
971	  0
979	  1
994	  1
995	  1
997	  0
1002	  1
1008	  1
1024	  0
1027	  1
1053	  1
1059	  1
1068	  0
1073	  1
1082	  1
1098	  1
1105	  1
1114	  1
1117	  1
1122	  1
1124	  1
1125	  1
1133	  0
1147	  1
1172	  1
1175	  1
1211	  0
1218	  1
1237	  1
1254	  1
1269	  1
1275	  1
1280	  1
1297	  0
1299	  1
1301	  0
1308	  1
1318	  1
1329	  0
1335	  0
1352	  1
1353	  1
1368	  1
1385	  0
1410	  1
1423	  0
1425	  0
1426	  0
1431	  0
1436	  0
1458	  0
1476	  0
1482	  0
1483	  0
1486	  1
1521	  0
1531	  0
1543	  1
1556	  0
1573	  0
1578	  1
1590	  0
1593	  0
1617	  1
1627	  0
1633	  0
1636	  0
1644	  0
1649	  0
1688	  0
1725	  0
1746	  0
1749	  0
1750	  0
1766	  0
1771	  0
1773	  1
1775	  0
1778	  0
1789	  0
1799	  0
1804	  0
1806	  0
1811	  0
1817	  0
1821	  0
1823	  0
1873	  1
1913	  0
1918	  1
1924	  0
1927	  0
1928	  1
1933	  0
1943	  0
1949	  0
1974	  0
1995	  0
2017	  0
2018	  0
2032	  0
2046	  0
2050	  0
2054	  0
2069	  0
2082	  0
2090	  0
2108	  1
2112	  1
2116	  0
2127	  1
2143	  0
2147	  0
2153	  0
2168	  1
2169	  0
2173	  0
2175	  0
2180	  0
2186	  0
2213	  1
2219	  0
2223	  0
2230	  0
2250	  0
2273	  1
2282	  0
2315	  0
2320	  0
2327	  0
2332	  1
2340	  0
2361	  0
2368	  1
2384	  0
2407	  0
2417	  0
2420	  0
2424	  0
2426	  0
2428	  0
2433	  0
2437	  0
2438	  0
2444	  0
2446	  0
2452	  0
2455	  0
2467	  0
2482	  0
2500	  0
2510	  0
2512	  0
2523	  1
2531	  0
2541	  0
2565	  0
2569	  0
2591	  0
2598	  0
2601	  0
2637	  1
2673	  0
2682	  0
2683	  0
2705	  0
2709	  0
2716	  0
2729	  0
2740	  0
2743	  0
2746	  1
2748	  1
2749	  0
2751	  0
2803	  0
2805	  0
2820	  0
2822	  0
2824	  0
2827	  0
2829	  0
2833	  0
2836	  1
2841	  1
2848	  0
2852	  0
2854	  0
2855	  0
2881	  0
2903	  0
2905	  0
2925	  0
2932	  0
3003	  0
3020	  0
3028	  0
3033	  0
3041	  0
3050	  0
3064	  0
3065	  0
3068	  0
3091	  0
3104	  0
3105	  0
3109	  0
3114	  1
3129	  0
3135	  0
3144	  1
3146	  1
3149	  1
3160	  0
3184	  0
3185	  1
3186	  0
3197	  0
3199	  0
3208	  0
3225	  0
3231	  0
3236	  0
3242	  0
3267	  0
3268	  0
3282	  0
3283	  0
3289	  0
3299	  0
3303	  0
3310	  0
3339	  0
3342	  0
3347	  0
3358	  0
3365	  0
3390	  0
3393	  0
3401	  0
3439	  1
3446	  0
3450	  0
3452	  1
3458	  0
3460	  0
3461	  0
3465	  0
3478	  1
3504	  0
3511	  0
3512	  0
3544	  0
3551	  0
3561	  0
3573	  0
3576	  0
3615	  0
3619	  0
3625	  0
3644	  0
3659	  0
3668	  1
3688	  0
3707	  1
3711	  0
3714	  0
3715	  0
3717	  0
3732	  0
3751	  0
3757	  0
3763	  0
3767	  0
3774	  0
3785	  0
3791	  0
3798	  0
3814	  0
3829	  1
3830	  0
3843	  0
3848	  0
3864	  0
3891	  0
3919	  0
3932	  0
3944	  0
3960	  0
3966	  0
3976	  0
3987	  0
4022	  0
4025	  0
4026	  0
4042	  0
4049	  0
4065	  0
4069	  0
4073	  1
4076	  0
4080	  0
4097	  0
4108	  0
4114	  0
4123	  0
4134	  0
4138	  1
4140	  0
4145	  0
4149	  0
4155	  0
4162	  0
4169	  1
4172	  0
4187	  0
4198	  0
4200	  0
4202	  0
4209	  0
4212	  0
4221	  1
4246	  0
4250	  0
4256	  0
4258	  0
4278	  1
4280	  0
4291	  0
4292	  0
4301	  0
4329	  0
4330	  0
4347	  0
4351	  0
4356	  0
4362	  0
4369	  0
4371	  0
4391	  0
4426	  0
4430	  0
4435	  0
4445	  0
4450	  1
4455	  1
4459	  0
4476	  1
4479	  0
4513	  0
4518	  0
4519	  1
4520	  0
4533	  0
4554	  1
4555	  0
4556	  0
4559	  1
4560	  1
4569	  1
4573	  0
4579	  1
4586	  0
4587	  0
4589	  1
4605	  0
4616	  0
4622	  0
4659	  0
4667	  0
4669	  0
4691	  1
4694	  0
4697	  0
4772	  0
4776	  0
4778	  0
4782	  0
4785	  0
4797	  0
4803	  0
4804	  1
4805	  0
4810	  0
4813	  0
4817	  0
4818	  0
4822	  0
4839	  0
4842	  0
4843	  0
4846	  1
4856	  0
4861	  0
4870	  0
4874	  0
4880	  0
4888	  0
4897	  0
4901	  0
4909	  0
4910	  0
4919	  0
4925	  0
4928	  0
4937	  0
4944	  1
4946	  0
4949	  0
4951	  0
4954	  0
4961	  0
4962	  0
4966	  0
4993	  1
4998	  0
4999	  0
5002	  0
5005	  0
5006	  0
5015	  0
5037	  1
5039	  0
5050	  0
5053	  1
5061	  0
5066	  1
5086	  0
5110	  0
5131	  1
5134	  0
5137	  0
5162	  1
5184	  0
5185	  0
5195	  0
5207	  0
5212	  0
5225	  0
5235	  0
5267	  0
5271	  0
5273	  0
5274	  0
5284	  1
5308	  0
5349	  0
5350	  1
5365	  0
5387	  0
5395	  1
5404	  0
5408	  1
5411	  0
5439	  0
5444	  1
5447	  0
5457	  0
5466	  0
5469	  1
5496	  0
5504	  0
5523	  0
5546	  1
5550	  0
5563	  0
5576	  0
5580	  0
5612	  0
5661	  0
5683	  1
5695	  0
5707	  0
5708	  0
5715	  0
5718	  0
5724	  0
5732	  0
5742	  0
5745	  0
5750	  0
5756	  0
5759	  0
5769	  0
5775	  0
5784	  1
5800	  0
5804	  0
5823	  0
5838	  0
5842	  1
5852	  0
5855	  0
5857	  0
5869	  0
5878	  0
5889	  0
5918	  0
5922	  0
5998	  1
6026	  0
6028	  1
6032	  0
6043	  0
6054	  0
6068	  0
6073	  0
6101	  0
6113	  1
6114	  1
6119	  0
6144	  0
6188	  0
6199	  0
6205	  0
6224	  0
6229	  0
6232	  0
6246	  0
6258	  0
6266	  0
6276	  0
6285	  0
6293	  0
6299	  0
6308	  0
6320	  0
6326	  0
6330	  0
6331	  0
6336	  0
6342	  0
6349	  0
6367	  0
6368	  0
6374	  0
6376	  0
6380	  0
6399	  1
6415	  1
6446	  0
6485	  0
6488	  0
6490	  0
6499	  0
6519	  1
6534	  1
6540	  0
6546	  0
6550	  0
6551	  0
6576	  0
6608	  0
6615	  0
6627	  0
6653	  0
6671	  0
6677	  1
6713	  1
6720	  0
6750	  0
6759	  0
6763	  1
6772	  1
6774	  0
6784	  0
6785	  0
6786	  0
6800	  0
6813	  0
6825	  0
6827	  1
6829	  1
6831	  1
6843	  0
