# 文書番号	予測ラベル
  5	  0
 13	  0
 14	  1
 27	  1
 30	  0
 33	  1
 37	  0
 41	  1
 43	  0
 56	  1
 73	  0
 79	  1
112	  0
118	  0
131	  1
136	  0
164	  1
175	  0
177	  1
178	  0
179	  1
199	  1
203	  1
204	  1
209	  1
217	  0
229	  0
276	  0
295	  1
301	  1
304	  1
305	  1
335	  1
339	  1
341	  1
345	  1
347	  1
354	  0
372	  0
383	  1
397	  1
410	  0
413	  1
424	  1
445	  0
448	  0
460	  1
464	  1
470	  0
476	  1
483	  1
484	  0
508	  1
511	  1
515	  1
516	  1
519	  0
537	  0
539	  1
562	  1
564	  1
566	  0
571	  0
577	  1
586	  0
596	  1
603	  0
616	  1
621	  0
629	  0
632	  0
634	  0
640	  1
642	  1
645	  1
657	  1
669	  1
681	  0
694	  1
708	  0
722	  0
727	  1
734	  0
741	  1
774	  1
800	  1
804	  1
819	  1
825	  1
826	  0
838	  0
843	  1
886	  0
892	  1
894	  1
945	  1
950	  0
953	  1
957	  1
958	  1
959	  0
969	  1
974	  0
978	  1
987	  1
992	  0
1015	  1
1016	  0
1029	  0
1041	  1
1048	  1
1095	  0
1096	  1
1097	  1
1115	  1
1137	  0
1143	  1
1151	  1
1156	  1
1167	  0
1185	  0
1192	  0
1195	  1
1196	  0
1202	  0
1224	  1
1233	  1
1245	  1
1258	  1
1265	  0
1277	  1
1292	  1
1304	  1
1310	  0
1328	  1
1330	  0
1351	  0
1359	  0
1386	  0
1389	  1
1393	  1
1394	  1
1440	  0
1443	  0
1455	  0
1460	  0
1461	  0
1469	  0
1499	  0
1502	  0
1503	  1
1506	  0
1507	  0
1515	  0
1525	  0
1567	  0
1569	  0
1572	  0
1576	  0
1577	  0
1584	  0
1600	  0
1629	  0
1631	  0
1643	  0
1651	  0
1677	  0
1684	  0
1685	  0
1689	  0
1699	  0
1704	  0
1710	  0
1735	  0
1738	  0
1740	  0
1764	  0
1767	  0
1769	  1
1801	  0
1815	  0
1818	  0
1846	  0
1848	  0
1852	  1
1872	  0
1887	  0
1888	  0
1894	  0
1901	  0
1903	  0
1905	  0
1910	  0
1921	  0
1934	  0
1935	  0
1944	  0
1946	  0
1950	  0
1952	  0
1953	  0
1964	  0
1967	  0
1970	  0
1988	  0
1997	  0
1998	  0
2007	  0
2024	  0
2028	  0
2041	  0
2044	  1
2052	  0
2060	  0
2072	  0
2081	  1
2109	  0
2125	  0
2133	  0
2134	  0
2141	  0
2149	  0
2151	  0
2154	  0
2176	  0
2200	  0
2201	  0
2207	  0
2225	  0
2244	  0
2247	  1
2252	  0
2262	  0
2268	  0
2270	  0
2281	  0
2288	  0
2314	  0
2318	  0
2325	  0
2336	  0
2343	  0
2347	  0
2357	  1
2386	  0
2401	  1
2412	  1
2413	  0
2414	  0
2415	  0
2429	  0
2445	  0
2462	  0
2476	  0
2495	  0
2498	  0
2501	  0
2519	  0
2535	  1
2550	  0
2553	  0
2560	  0
2572	  0
2574	  0
2582	  1
2583	  0
2609	  0
2611	  0
2623	  1
2624	  0
2672	  0
2713	  0
2726	  0
2730	  0
2741	  0
2752	  1
2759	  1
2764	  0
2779	  0
2785	  0
2814	  1
2880	  1
2894	  0
2902	  0
2904	  0
2909	  0
2912	  0
2922	  0
2923	  0
2935	  1
2936	  1
2939	  0
2947	  0
2965	  0
2971	  0
2989	  1
3009	  0
3019	  0
3021	  0
3029	  0
3034	  0
3039	  0
3045	  0
3052	  0
3058	  0
3059	  0
3063	  0
3092	  0
3094	  0
3103	  0
3118	  0
3142	  0
3143	  0
3145	  1
3150	  0
3156	  0
3162	  1
3164	  0
3188	  0
3190	  0
3193	  0
3194	  0
3204	  0
3205	  1
3207	  1
3215	  0
3222	  0
3226	  0
3237	  0
3247	  0
3263	  0
3265	  0
3272	  0
3276	  0
3281	  0
3292	  0
3340	  0
3368	  0
3372	  0
3382	  1
3397	  0
3408	  0
3427	  0
3482	  0
3501	  0
3513	  0
3516	  0
3517	  0
3520	  1
3524	  1
3527	  0
3528	  0
3534	  0
3538	  0
3545	  0
3566	  0
3572	  0
3577	  0
3578	  0
3581	  0
3597	  0
3607	  0
3608	  0
3622	  1
3632	  0
3642	  1
3645	  0
3652	  0
3665	  0
3667	  0
3674	  0
3684	  1
3710	  0
3724	  0
3749	  0
3753	  0
3777	  0
3780	  0
3781	  0
3801	  0
3812	  0
3820	  0
3827	  0
3831	  0
3855	  0
3863	  0
3868	  0
3875	  1
3887	  0
3896	  0
3906	  0
3915	  0
3920	  0
3928	  0
3933	  0
3937	  0
3939	  0
3950	  0
3957	  0
3961	  0
3968	  0
3977	  0
3982	  0
3984	  0
3995	  0
3998	  0
